651500,My Memory of Us,-85%,$1.39,86.76%,Oct 2018,0;
819030,STEINS;GATE ELITE,-50%,$29.99,86.74%,Feb 2019,0
573170,Fidel Dungeon Rescue,N/A,N/A,N/A,Aug 2017,0;
733300,My Big Sister,-80%,$0.71,86.53%,Nov 2018,0;
1222670,The Sims™ 4,N/A,N/A,N/A,Sep 2014,0;
1347600,Dad's Monster House,-33%,$1.33,86.27%,Sep 2021,0;
223710,Cry of Fear,N/A,N/A,N/A,Apr 2013,34;
704850,Thief Simulator,-90%,$1.04,86.06%,Nov 2018,936;
40100,Supreme Commander 2,-75%,$2.62,86.03%,Mar 2010,0;
236850,Europa Universalis IV,-70%,$7.19,86.03%,Aug 2013,42978;
1030840,Mafia: Definitive Edition,-75%,$9.99,85.98%,Sep 2020,0;
690790,DiRT Rally 2.0,-75%,$4.99,85.93%,Feb 2019,0;
1166290,Death and Taxes,-75%,$1.87,85.48%,Feb 2020,0;
1847240,Game Dev Story,-62%,$3.41,85.47%,Mar 2022,0;
240970,Half Minute Hero: The Second Coming,N/A,N/A,N/A,Apr 2014,0;
2319470,A TAVERN FOR TEA,-15%,$1.69,85.25%,Mar 2023,0;
354240,"Please, Don’t Touch Anything",-50%,$2.49,85.22%,Mar 2015,245;
1546920,Overboard!,-60%,$5.99,85.11%,Jun 2021,0;
761620,Beholder 2,-85%,$1.19,85.09%,Dec 2018,144;
40990,Mafia,-67%,$4.94,85.06%,Aug 2002,0;
1742930,Looking Up I See Only A Ceiling,-20%,$1.59,84.81%,Mar 2023,0;
345650,Without Within,N/A,N/A,N/A,Jan 2015,0;
12100,Grand Theft Auto III,N/A,N/A,N/A,May 2002,0;
444090,Paladins®,N/A,N/A,N/A,May 2018,46;
676130,Without Within 3 (初衷),-50%,$2.49,84.32%,May 2018,0;
757310,Sable,-60%,$4.99,84.28%,Sep 2021,0;
918820,Headliner: NoviNews,-50%,$6.99,84.26%,Oct 2018,0;
223280,Cut the Rope,N/A,N/A,N/A,—,66;
924140,Hand Simulator: Survival,-50%,$0.99,84.19%,Dec 2019,0;
504770,Slavistan,N/A,N/A,N/A,Jul 2016,0;
687800,Heads Will Roll: Reforged,-46%,$10.87,84.11%,Oct 2023,0;
1115690,"Yes, Your Grace",-75%,$2.62,83.86%,Mar 2020,0;
269650,Dex,-81%,$3.79,83.85%,May 2015,0;
1468720,Ultimate Epic Battle Simulator 2,-50%,$9.99,83.84%,Jul 2023,0;
335300,DARK SOULS™ II: Scholar of the First Sin,N/A,N/A,N/A,Apr 2015,0;
532210,Life is Strange 2,N/A,N/A,N/A,Sep 2018,1758;
303610,Suicide Guy,-88%,$0.44,83.28%,Jul 2017,0;
940710,Colt Canyon,-80%,$1.59,83.26%,Jun 2020,24;
12200,Bully: Scholarship Edition,-65%,$5.24,83.13%,Oct 2008,0;
750920,Shadow of the Tomb Raider: Definitive Edition,-89%,$4.93,82.90%,Sep 2018,312;
865360,We Were Here Together,-62%,$2.77,82.89%,Oct 2019,498;
1624540,Storyteller,-34%,$4.94,82.81%,Mar 2023,204;
657200,Hand Simulator,-50%,$0.99,82.64%,Jul 2017,0;
346110,ARK: Survival Evolved,N/A,N/A,N/A,Aug 2017,0;
816490,Hidden Paws,-75%,$0.74,82.46%,Mar 2018,0;
2021910,FPS Chess,N/A,N/A,N/A,Jul 2022,2;
1627840,Universe For Sale,N/A,N/A,N/A,Nov 2023,0;
1707650,Swords and Sandals Immortals,-30%,$9.79,82.30%,Mar 2023,0;
1222680,Need for Speed™ Heat,-95%,$3.50,82.29%,Nov 2019,264;
225540,Just Cause™ 3,-85%,$2.39,82.26%,Dec 2015,1644;
291550,Brawlhalla,N/A,N/A,N/A,Oct 2017,72;
214830,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,N/A,N/A,N/A,Sep 2012,0;
2198070,Cardboard Town,-40%,$3.59,82.04%,Aug 2023,32;
379430,Kingdom Come: Deliverance,-80%,$4.59,82.03%,Feb 2018,0;
1404190,Chess Brain,N/A,N/A,N/A,Sep 2020,8;
353560,Plug & Play,N/A,N/A,N/A,Mar 2015,0;
1277510,Re:ZERO -Starting Life in Another World- The Prophecy of the Throne,-80%,$11.99,81.74%,Jan 2021,0;
1343670,Dealer's Life 2,-30%,$5.59,81.70%,Feb 2022,1710;
489360,CASE: Animatronics,-90%,$0.99,81.64%,Aug 2016,72;
600090,The Coma: Recut,-90%,$0.79,81.48%,Sep 2017,126;
